keyword_key,Keyword Difficulty
69,78.0
106,70.0
45,55.0
19,50.0
26,57.0
125,52.0
75,54.0
17,73.0
64,45.0
97,76.0
98,82.0
11,58.0
96,30.0
102,48.0
78,73.0
137,57.0
150,68.0
29,44.0
71,46.0
82,60.0
115,56.0
118,66.0
144,62.0
73,37.0
126,37.0
83,38.0
146,80.0
152,43.0
84,27.0
49,63.0
104,57.0
111,70.0
156,50.0
3,97.0
88,29.0
91,58.0
35,46.0
116,48.0
80,70.0
62,45.0
92,67.0
142,63.0
103,44.0
4,78.0
66,70.0
158,43.0
112,49.0
139,78.0
108,42.0
155,51.0
149,49.0
122,38.0
123,49.0
16,73.0
143,54.0
76,70.0
121,44.0
99,43.0
85,32.0
37,33.0
41,44.0
117,38.0
128,36.0
25,77.0
24,25.0
30,44.0
136,19.0
148,49.0
20,59.0
110,48.0
18,64.0
36,56.0
131,52.0
21,60.0
1,44.0
52,12.0
147,38.0
119,62.0
120,58.0
124,68.0
145,47.0
51,16.0
6,47.0
140,76.0
72,57.0
63,57.0
28,48.0
89,49.0
141,39.0
93,47.0
43,24.0
113,
12,44.0
34,22.0
54,17.0
46,32.0
86,30.0
15,27.0
68,77.0
127,33.0
55,36.0
14,18.0
154,33.0
48,54.0
23,60.0
159,20.0
135,41.0
138,77.0
130,34.0
59,47.0
114,44.0
44,15.0
81,28.0
67,62.0
132,51.0
22,51.0
129,37.0
27,42.0
133,50.0
95,70.0
10,19.0
40,45.0
65,56.0
7,39.0
47,40.0
57,35.0
8,38.0
77,49.0
9,32.0
50,33.0
61,8.0
100,34.0
39,31.0
157,21.0
5,61.0
33,47.0
31,60.0
107,62.0
94,37.0
101,38.0
90,56.0
38,18.0
151,64.0
109,27.0
87,35.0
160,34.0
42,46.0
74,59.0
58,35.0
56,32.0
60,14.0
13,39.0
2,67.0
134,41.0
79,66.0
70,31.0
105,47.0
32,46.0
153,24.0
53,30.0
