keyword_key,Search Volume
69,90500
106,18100
45,14800
19,9900
26,9900
125,8100
75,6600
17,5400
64,5400
97,49500
98,18100
11,14800
96,1900
102,6600
78,1600
137,1600
150,1600
29,5400
71,12100
82,6600
115,1000
118,1000
144,1000
73,880
126,720
83,2400
146,590
152,1900
84,1900
49,2900
104,2900
111,390
156,390
3,1300
88,320
91,320
35,1900
116,260
80,2400
62,260
92,1600
142,210
103,720
4,1000
66,720
158,210
112,170
139,170
108,1000
155,140
149,140
122,140
123,140
16,880
143,140
76,1300
121,110
99,590
85,590
37,110
41,390
117,90
128,90
25,480
24,90
30,480
136,90
148,90
20,260
110,70
18,260
36,390
131,70
21,390
1,70
52,70
147,70
119,70
120,70
124,70
145,70
51,70
6,720
140,50
72,260
63,50
28,210
89,590
141,50
93,260
43,320
113,50
12,590
34,390
54,30
46,40
86,40
15,110
68,140
127,30
55,170
14,40
154,90
48,140
23,140
159,260
135,40
138,40
130,40
59,30
114,30
44,30
81,40
67,210
132,90
22,170
129,30
27,140
133,110
95,210
10,40
40,140
65,140
7,30
47,110
57,30
8,110
77,70
9,170
50,70
61,40
100,30
39,110
157,40
5,70
33,40
31,50
107,140
94,50
101,70
90,40
38,70
151,40
109,30
87,110
160,40
42,70
74,170
58,30
56,40
60,30
13,70
2,90
134,30
79,30
70,40
105,90
32,50
153,30
53,50
